Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
Year 7,I have not used any AI tools for schoolwork;,Rarely,Mathematics;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,Somewhat confident,Never,Not aware at all - they don't know I use AI,Very negative ,Subject-specific guidance on appropriate AI use;,I haven't really thought about this,Friends or classmates,Personal devices at home,"Yes, they know but don't have strong opinions",Nothing prevents me - I use AI as much as I want;,.
Year 7,Grammarly (AI writing assistant);ChatGPT;Google Bard/Gemini;,Rarely, English/Literature;, Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;Solving math problems step-by-step;Improving my writing style and grammar;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations, Very confident,Sometimes,It varies significantly between teachers,Somewhat positive ,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Found them myself through online research,Personal devices at home,I'm not sure if they know,Nothing prevents me - I use AI as much as I want;,no
Year 7,I have not used any AI tools for schoolwork;,Never,Modern Foreign Languages;,Checking my work for errors;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,Sometimes,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Found them myself through online research,Both school and personal devices equally,I'm not sure if they know,Don't have reliable access to AI tools;,No
Year 7,I have not used any AI tools for schoolwork;Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;,Checking my work for errors;Translating text between languages;,Use AI to check or improve work I've already created,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat positive ,Learning about AI limitations and potential biases;Discussion sessions about AI ethics;,"No, never",Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;Concerned about accuracy of AI responses;School policies are unclear;,N/a
Year 7,ChatGPT;Grammarly (AI writing assistant);,Rarely,"Sciences (Biology, Chemistry, Physics);Humanities;",Checking my work for errors;Helping with research and finding information;,Use AI to check or improve work I've already created,Neutral - neither positive nor negative,Somewhat confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;,I haven't really thought about this,Family members,Personal devices at home,I'm not sure if they know,School policies are unclear;,/
Year 7,ChatGPT;Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Weekly,"Modern Foreign Languages; English/Literature;Sciences (Biology, Chemistry, Physics);",doing the work for me;, Use AI-generated content directly without changes,Very positive - they're extremely helpful, Very confident,Rarely,Not aware at all - they don't know I use AI,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,"Social media (TikTok, YouTube, etc.)",Personal devices at home,I'm not sure if they know,Nothing prevents me - I use AI as much as I want;,nope
Year 7,Language translation tools (e.g. Google Translate);,Rarely,Modern Foreign Languages;, Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Neutral - neither positive nor negative,"Unsure what ""effective and ethical"" means in this context",Sometimes,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Understanding how to cite/acknowledge AI use properly;,"Yes, occasionally",Friends or classmates,Personal devices at home,I'm not sure if they know,Worried it might be considered cheating;,no
Year 7,I have not used any AI tools for schoolwork;,Never,I don’t use ai;,I don’t use ai;,I don’t use ai ,Very negative - prefer not to use them,"Unsure what ""effective and ethical"" means in this context",Never,Not aware at all - they don't know I use AI,Neutral - neither positive nor negative,I don’t use ai ;,I haven't really thought about this,I don’t use ai ,I don't currently use AI tools,Not applicable - I don't use AI tools,I don’t use ai ;,I don’t use ai and I will never plan too
Year 7,google;,Weekly, English/Literature;,Helping with research and finding information;Improving my writing style and grammar;i use sites like rhymezone;,i dont understand AI,Unsure/haven't thought about it much,"Unsure what ""effective and ethical"" means in this context",I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,i dont need to learn this;,I haven't really thought about this,my brain,Personal devices at home,Not applicable - I don't use AI tools,Privacy concerns about my data;,no
Year 7,I have not used any AI tools for schoolwork;,Never,i dont use it;,dont use it;,dont use it,Very negative - prefer not to use them, Very confident,Never,It varies significantly between teachers,Unsure/haven't thought about it much,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,"Social media (TikTok, YouTube, etc.)",I don't currently use AI tools,Not applicable - I don't use AI tools,School policies are unclear;Worried it might be considered cheating;Prefer to do work without AI assistance;,No i think it is
Year 7,Google Bard/Gemini;,Monthly, English/Literature;Mathematics;,creating maths questions to practice;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations,Somewhat confident,Rarely,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,"No, never",Family members,Personal devices at home,"Yes, they know but don't have strong opinions",School policies are unclear;,no
Year 7,ChatGPT;,Never,None;,never;,use it to generate similar questions to the ones i have struggled on,Unsure/haven't thought about it much,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Training on how to use AI tools effectively;,"Yes, but only once or twice",Family members,I don't currently use AI tools,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Worried it might be considered cheating;Prefer to do work without AI assistance;School policies are unclear;,No not really
Year 7,I have not used any AI tools for schoolwork;,Never,none;,none;,I don't,Unsure/haven't thought about it much,Not very confident,Always,Somewhat aware - they have a general idea,Unsure/haven't thought about it much,none;,I haven't really thought about this,never,I don't currently use AI tools,Not applicable - I don't use AI tools,none;,Sorry I couldn't answer many of the questions because I don't use AI at all
